"filename", "language", "C++", "CMake", "HTML", "YAML", "Dart", "Swift", "Markdown", "JSON", "XML", "Properties", "comment", "blank", "total"
"c:\Users\idoba\flowscape\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"c:\Users\idoba\flowscape\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\idoba\flowscape\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\Users\idoba\flowscape\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 11, 1, 46
"c:\Users\idoba\flowscape\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\idoba\flowscape\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\idoba\flowscape\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\idoba\flowscape\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\idoba\flowscape\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\Users\idoba\flowscape\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\idoba\flowscape\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\idoba\flowscape\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\idoba\flowscape\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\idoba\flowscape\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"c:\Users\idoba\flowscape\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\idoba\flowscape\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\idoba\flowscape\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"c:\Users\idoba\flowscape\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Users\idoba\flowscape\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\idoba\flowscape\lib\core\data\flowbg_images.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\idoba\flowscape\lib\core\data\quotes.dart", "Dart", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 5, 6, 196
"c:\Users\idoba\flowscape\lib\core\screen_handle\screen_checks.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\idoba\flowscape\lib\core\styles\colors.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 3, 27
"c:\Users\idoba\flowscape\lib\core\styles\texts_sizes.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\idoba\flowscape\lib\core\styles\themes.dart", "Dart", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 16, 96
"c:\Users\idoba\flowscape\lib\core\utils\flutter_helpers.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\idoba\flowscape\lib\core\utils\general_helpers.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 0, 9
"c:\Users\idoba\flowscape\lib\features\app\app.dart", "Dart", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 3, 10, 83
"c:\Users\idoba\flowscape\lib\features\flow\flow.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 6, 32
"c:\Users\idoba\flowscape\lib\features\flow\timer.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 7, 44
"c:\Users\idoba\flowscape\lib\features\home\home.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 8, 63
"c:\Users\idoba\flowscape\lib\features\home\saved_scapes.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\idoba\flowscape\lib\features\home\scapes.dart", "Dart", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 2, 15, 126
"c:\Users\idoba\flowscape\lib\features\music\music.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\idoba\flowscape\lib\features\settings\appearance_tile\theme_select.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\idoba\flowscape\lib\features\settings\settings.dart", "Dart", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 2, 12, 118
"c:\Users\idoba\flowscape\lib\features\tasks\tasks.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\idoba\flowscape\lib\main.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 4, 32
"c:\Users\idoba\flowscape\lib\templates\screen_temp.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\idoba\flowscape\lib\testing\scarch.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\idoba\flowscape\lib\wiki\PROBLEMS.md", "Markdown", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 8, 29
"c:\Users\idoba\flowscape\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
