Date : 2025-04-20 17:10:41
Directory : c:\Users\idoba\flowscape
Total : 74 files,  2722 codes, 275 comments, 478 blanks, all 3475 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         22 |        863 |         31 |        123 |      1,017 |
| C++        |         16 |        540 |        131 |        189 |        860 |
| XML        |         10 |        470 |         53 |         12 |        535 |
| CMake      |          8 |        461 |          0 |         92 |        553 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Swift      |          6 |         53 |          7 |         21 |         81 |
| Markdown   |          3 |         34 |          0 |         17 |         51 |
| YAML       |          2 |         26 |         38 |         13 |         77 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         74 |      2,722 |        275 |        478 |      3,475 |
| . (Files)                                                                              |          3 |         36 |         38 |         20 |         94 |
| android                                                                                |          9 |         74 |         51 |         11 |        136 |
| android (Files)                                                                        |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                            |          7 |         66 |         51 |          9 |        126 |
| android\app\src                                                                        |          7 |         66 |         51 |          9 |        126 |
| android\app\src\debug                                                                  |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                   |          5 |         60 |         43 |          7 |        110 |
| android\app\src\main (Files)                                                           |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                               |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                      |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                         |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                 |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                    |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                             |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                     |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                        |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                             |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                          |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                        |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                  |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                    |         22 |        870 |         21 |        124 |      1,015 |
| lib (Files)                                                                            |          1 |         27 |          1 |          4 |         32 |
| lib\core                                                                               |          8 |        332 |         10 |         36 |        378 |
| lib\core\data                                                                          |          2 |        203 |          5 |         12 |        220 |
| lib\core\screen_handle                                                                 |          1 |          9 |          0 |          3 |         12 |
| lib\core\styles                                                                        |          3 |        112 |          4 |         20 |        136 |
| lib\core\utils                                                                         |          2 |          8 |          1 |          1 |         10 |
| lib\features                                                                           |         10 |        471 |         10 |         71 |        552 |
| lib\features\app                                                                       |          1 |         70 |          3 |         10 |         83 |
| lib\features\flow                                                                      |          2 |         61 |          2 |         13 |         76 |
| lib\features\home                                                                      |          3 |        178 |          3 |         26 |        207 |
| lib\features\music                                                                     |          1 |         21 |          0 |          3 |         24 |
| lib\features\settings                                                                  |          2 |        120 |          2 |         16 |        138 |
| lib\features\settings (Files)                                                          |          1 |        104 |          2 |         12 |        118 |
| lib\features\settings\appearance_tile                                                  |          1 |         16 |          0 |          4 |         20 |
| lib\features\tasks                                                                     |          1 |         21 |          0 |          3 |         24 |
| lib\templates                                                                          |          1 |         19 |          0 |          4 |         23 |
| lib\testing                                                                            |          1 |          0 |          0 |          1 |          1 |
| lib\wiki                                                                               |          1 |         21 |          0 |          8 |         29 |
| linux                                                                                  |          9 |        325 |         37 |         92 |        454 |
| linux (Files)                                                                          |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                          |          4 |        105 |          9 |         27 |        141 |
| linux\runner                                                                           |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                  |          6 |        445 |          5 |         17 |        467 |
| macos\Flutter                                                                          |          1 |          4 |          3 |          4 |         11 |
| macos\Runner                                                                           |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                   |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                      |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                           |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                        |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                |          1 |        343 |          0 |          1 |        344 |
| test                                                                                   |          1 |         14 |         10 |          7 |         31 |
| web                                                                                    |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                |         14 |        675 |         94 |        188 |        957 |
| windows (Files)                                                                        |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                        |          4 |        124 |          9 |         29 |        162 |
| windows\runner                                                                         |          9 |        462 |         85 |        139 |        686 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\idoba\flowscape\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\idoba\flowscape\analysis_options.yaml                                         | YAML       |          3 |         22 |          4 |         29 |
| c:\Users\idoba\flowscape\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| c:\Users\idoba\flowscape\android\app\src\main\AndroidManifest.xml                      | XML        |         34 |         11 |          1 |         46 |
| c:\Users\idoba\flowscape\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\idoba\flowscape\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\idoba\flowscape\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\idoba\flowscape\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\idoba\flowscape\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\Users\idoba\flowscape\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\idoba\flowscape\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\idoba\flowscape\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\idoba\flowscape\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\idoba\flowscape\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\idoba\flowscape\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\idoba\flowscape\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\idoba\flowscape\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\idoba\flowscape\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\idoba\flowscape\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\idoba\flowscape\lib\core\data\flowbg_images.dart                              | Dart       |         18 |          0 |          6 |         24 |
| c:\Users\idoba\flowscape\lib\core\data\quotes.dart                                     | Dart       |        185 |          5 |          6 |        196 |
| c:\Users\idoba\flowscape\lib\core\screen_handle\screen_checks.dart                     | Dart       |          9 |          0 |          3 |         12 |
| c:\Users\idoba\flowscape\lib\core\styles\colors.dart                                   | Dart       |         21 |          3 |          3 |         27 |
| c:\Users\idoba\flowscape\lib\core\styles\texts_sizes.dart                              | Dart       |         12 |          0 |          1 |         13 |
| c:\Users\idoba\flowscape\lib\core\styles\themes.dart                                   | Dart       |         79 |          1 |         16 |         96 |
| c:\Users\idoba\flowscape\lib\core\utils\flutter_helpers.dart                           | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\idoba\flowscape\lib\core\utils\general_helpers.dart                           | Dart       |          8 |          1 |          0 |          9 |
| c:\Users\idoba\flowscape\lib\features\app\app.dart                                     | Dart       |         70 |          3 |         10 |         83 |
| c:\Users\idoba\flowscape\lib\features\flow\flow.dart                                   | Dart       |         25 |          1 |          6 |         32 |
| c:\Users\idoba\flowscape\lib\features\flow\timer.dart                                  | Dart       |         36 |          1 |          7 |         44 |
| c:\Users\idoba\flowscape\lib\features\home\home.dart                                   | Dart       |         54 |          1 |          8 |         63 |
| c:\Users\idoba\flowscape\lib\features\home\saved_scapes.dart                           | Dart       |         15 |          0 |          3 |         18 |
| c:\Users\idoba\flowscape\lib\features\home\scapes.dart                                 | Dart       |        109 |          2 |         15 |        126 |
| c:\Users\idoba\flowscape\lib\features\music\music.dart                                 | Dart       |         21 |          0 |          3 |         24 |
| c:\Users\idoba\flowscape\lib\features\settings\appearance_tile\theme_select.dart       | Dart       |         16 |          0 |          4 |         20 |
| c:\Users\idoba\flowscape\lib\features\settings\settings.dart                           | Dart       |        104 |          2 |         12 |        118 |
| c:\Users\idoba\flowscape\lib\features\tasks\tasks.dart                                 | Dart       |         21 |          0 |          3 |         24 |
| c:\Users\idoba\flowscape\lib\main.dart                                                 | Dart       |         27 |          1 |          4 |         32 |
| c:\Users\idoba\flowscape\lib\templates\screen_temp.dart                                | Dart       |         19 |          0 |          4 |         23 |
| c:\Users\idoba\flowscape\lib\testing\scarch.dart                                       | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\idoba\flowscape\lib\wiki\PROBLEMS.md                                          | Markdown   |         21 |          0 |          8 |         29 |
| c:\Users\idoba\flowscape\linux\CMakeLists.txt                                          | CMake      |        104 |          0 |         25 |        129 |
| c:\Users\idoba\flowscape\linux\flutter\CMakeLists.txt                                  | CMake      |         79 |          0 |         10 |         89 |
| c:\Users\idoba\flowscape\linux\flutter\generated_plugin_registrant.cc                  | C++        |          3 |          4 |          5 |         12 |
| c:\Users\idoba\flowscape\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\Users\idoba\flowscape\linux\flutter\generated_plugins.cmake                         | CMake      |         18 |          0 |          6 |         24 |
| c:\Users\idoba\flowscape\linux\runner\CMakeLists.txt                                   | CMake      |         21 |          0 |          6 |         27 |
| c:\Users\idoba\flowscape\linux\runner\main.cc                                          | C++        |          5 |          0 |          2 |          7 |
| c:\Users\idoba\flowscape\linux\runner\my_application.cc                                | C++        |         83 |         21 |         27 |        131 |
